"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"United States Coast Guard Academy",27,25,25,26,26,26,26,25,25,25,24,27,27,25
"Holy Cross College",27,25,23,22,19,19,18,19,19,19,18,20,20,
"North Carolina State University at Raleigh",27,27,27,26,26,26,26,25,23,23,22,22,21,23
"University of Wisconsin-Madison",27,27,27,27,27,27,26,26,26,26,26,26,26,26
"University of Illinois Urbana-Champaign",27,26,26,26,26,26,26,26,26,26,26,26,26,26
"Skidmore College",27,28,27,27,26,26,25,26,26,26,26,26,25,25
"University of Washington-Seattle Campus",27,27,27,27,26,26,25,25,24,24,24,23,23,23
"Providence College",27,27,26,26,23,,,23,23,23,23,23,23,23
"Sarah Lawrence College",27,28,27,27,27,,,,,,,,,
"Rose-Hulman Institute of Technology",27,27,28,27,27,28,27,27,27,27,26,26,27,27
"Florida Polytechnic University",27,27,27,25,23,23,23,,,,,,,
"Rhode Island School of Design",27,26,26,25,24,25,27,24,,24,22,22,,
"Rhodes College",27,27,28,27,27,27,27,27,26,26,26,26,25,25
"Fordham University",27,28,28,27,27,27,26,26,26,26,26,25,25,24
"University of Massachusetts-Amherst",27,26,26,26,25,25,24,24,24,24,23,22,22,22
"Babson College",27,27,28,27,27,27,26,26,26,27,25,25,25,25
"Florida State University",27,26,26,26,25,25,26,25,25,25,24,24,23,23
"Emerson College",27,27,26,26,25,25,26,26,26,25,24,25,25,24
"University of California-Irvine",26,24,25,25,24,24,23,21,21,23,23,22,22,22
"CUNY Bernard M Baruch College",26,,,,,,,,,,,,,
"Centre College",26,26,27,26,26,26,26,26,26,26,26,26,26,25
"Missouri University of Science and Technology",26,26,25,25,25,25,26,25,26,25,25,25,25,24
"Illinois Institute of Technology",26,26,26,25,26,25,25,25,24,24,25,25,25,25
"The New School",26,25,24,24,23,,22,22,22,22,21,22,21,21
"Hobart William Smith Colleges",26,26,25,25,26,,,,,,,,,23
"Soka University of America",26,26,25,27,26,24,24,25,24,23,24,,18,
"Stony Brook University",26,26,26,26,26,26,26,26,25,25,24,24,,
"Lawrence University",26,25,27,25,26,,,,,,,,,
"The University of Texas at Austin",26,27,27,26,26,26,26,25,25,25,24,24,21,23
"Pepperdine University",26,27,26,26,26,25,25,,,,,,,
"The University of Texas at Dallas",26,26,25,26,25,25,25,25,26,25,24,24,24,24
"Muhlenberg College",26,26,26,25,26,,,25,23,25,26,26,24,26
"Ohio State University-Main Campus",26,28,27,27,27,27,27,27,26,26,25,25,25,24
"Texas A & M University-College Station",26,26,25,25,24,25,24,23,24,24,24,23,23,23
"University of Florida-Online",26,24,23,24,23,24,24,,,,,,,
"University of Denver",26,26,26,25,26,26,25,25,25,25,24,24,23,22
"Brigham Young University",26,26,26,27,27,27,27,26,26,26,25,25,25,25
"University of Vermont",26,26,26,25,25,25,24,24,24,24,24,23,23,22
"Wheaton College",26,26,27,27,27,27,27,27,27,27,27,27,27,27
"Bentley University",26,27,28,27,25,26,26,26,25,25,25,25,24,23
"California Polytechnic State University-San Luis Obispo",26,26,26,26,26,26,25,25,25,25,24,23,23,23
"Conception Seminary College",25,13,21,18,20,21,19,22,21,21,19,20,20,19
"The University of Tennessee-Knoxville",25,24,25,24,24,24,24,24,24,24,24,23,24,23
"The King's College",25,23,24,24,24,24,23,24,22,24,24,25,,
"Gonzaga University",25,25,25,26,25,25,25,25,24,24,24,24,23,23
"Saint Anselm College",25,23,24,24,23,,,23,,,20,21,22,20
"The University of the South",25,25,,,,,,26,26,26,26,26,25,25
"New College of Florida",25,25,26,25,26,27,26,27,26,27,27,27,26,26
"Saint Louis University",25,25,25,25,25,25,25,25,25,25,25,24,24,22
"Rutgers University-New Brunswick",25,25,25,,,,,,,,,,,
"Purdue University-Main Campus",25,25,25,25,25,25,24,24,24,24,23,23,23,22
"Mercer University",25,25,25,25,25,24,25,23,23,24,24,23,23,22
"Patrick Henry College",25,26,,,,,,,,,,,,
"Bryant University",25,25,,,,,,23,22,22,23,22,23,21
"Texas Christian University",25,25,26,25,25,25,24,25,25,24,23,23,23,23
"Michigan Technological University",25,25,24,25,25,24,25,24,24,23,23,23,23,22
"Milwaukee School of Engineering",25,25,25,25,25,25,25,25,24,24,24,23,23,23
"CUNY Hunter College",25,,,,,,,,,,,,,
"University of Minnesota-Twin Cities",25,26,26,26,26,26,26,26,25,25,24,24,24,23
"Elon University",25,25,25,25,25,25,25,23,25,25,25,24,24,23
"Seton Hall University",25,24,24,24,23,23,23,22,22,21,20,22,,21
"Ursinus College",25,24,23,24,,,,24,24,,24,25,22,22
"Auburn University",25,25,25,24,24,24,24,24,24,24,23,23,22,22
"Drexel University",25,25,25,24,25,25,23,24,24,24,,23,23,20
"Virginia Polytechnic Institute and State University",25,25,25,25,,,,,,,,,,
"St Olaf College",25,26,25,25,26,26,26,26,26,27,26,27,26,25
"Butler University",25,24,25,25,25,25,25,25,25,25,25,25,24,25
"Thomas Aquinas College",25,26,25,25,25,28,24,23,25,25,25,26,25,25
"New Jersey Institute of Technology",25,24,25,24,23,23,23,22,22,,,,,
"University of South Florida",25,25,25,24,24,24,23,23,23,23,22,23,22,22
"United States Merchant Marine Academy",25,27,27,26,26,,,,,,,,,
"University of California-Davis",25,24,24,25,25,25,25,23,23,23,22,21,21,21
"Kettering University",25,24,25,24,25,24,25,24,24,24,24,24,24,24
"Loyola University Chicago",25,25,25,24,24,24,25,24,25,25,24,24,23,23
"University of South Carolina-Columbia",25,25,25,25,25,25,25,24,24,24,24,23,23,22
"University of Colorado Boulder",25,25,25,25,25,24,24,24,23,24,24,24,23,23
"Pratt Institute-Main",25,24,25,24,24,23,24,23,23,23,22,22,22,20
"Chapman University",25,25,25,25,25,25,25,24,25,24,25,25,25,24
"Marquette University",25,24,24,24,24,24,25,25,24,24,24,24,24,24
"Albany College of Pharmacy and Health Sciences",25,23,24,23,23,24,23,24,24,24,25,22,24,22
"University of Central Florida",25,25,25,24,24,24,24,23,24,24,23,23,23,22
"University of California-Santa Cruz",25,26,26,26,25,25,23,20,21,21,22,21,21,21
"University of Delaware",25,24,25,25,22,24,24,24,24,24,24,24,,23
"SUNY College at Geneseo",24,23,24,24,25,25,25,27,27,27,28,28,28,27
"Seattle University",24,24,24,24,25,25,24,24,24,24,23,22,23,22
"Indiana University-Bloomington",24,24,24,25,24,24,24,24,24,24,24,23,23,22
"Illinois Wesleyan University",24,24,24,24,25,25,25,25,25,25,26,26,26,26
"SUNY College of Environmental Science and Forestry",24,23,23,24,23,25,24,23,25,23,23,21,22,21
"Yeshiva University",24,24,22,23,23,24,23,23,23,23,22,23,21,23
"Allegheny College",24,24,24,23,,,23,23,24,23,23,23,24,23
"Simmons University",24,23,24,24,24,24,24,23,23,22,21,22,21,22
"State University of New York at New Paltz",24,23,24,23,23,23,23,23,23,23,,,23,
"DigiPen Institute of Technology",24,25,24,25,26,26,25,25,26,23,24,25,24,22
"South Dakota School of Mines and Technology",24,24,24,24,24,24,24,24,24,24,24,24,23,23
"George Mason University",24,24,24,24,24,23,23,24,23,23,23,23,21,20
"University of New Hampshire-Main Campus",24,22,22,23,22,22,22,,,,,,,21
"Earlham College",24,23,26,25,,,,26,,24,24,24,24,24
"SUNY at Purchase College",24,23,21,20,20,22,19,21,21,21,21,22,21,22
"Grove City College",24,23,24,23,23,24,24,24,24,25,25,26,25,26
"Transylvania University",24,23,24,,,,25,24,24,24,23,23,23,23
"The Pennsylvania State University",24,,,,,,,,,,,,,
"Florida Southern College",24,24,23,24,24,24,23,22,22,22,20,20,20,19
"Clarkson University",24,23,24,24,24,24,24,24,23,23,23,24,23,22
"University of San Francisco",24,23,23,22,23,24,23,23,22,23,22,22,22,22
"University of Maryland-Baltimore County",24,24,24,24,24,24,24,24,24,24,22,22,22,22
"Westmont College",24,21,23,23,23,23,23,24,24,23,23,24,23,24
"University of Health Sciences and Pharmacy in St. Louis",24,24,24,24,24,24,24,25,25,25,25,108,25,24
"Robert Morris University",24,21,21,21,21,20,20,21,20,20,20,19,19,18
"Miami University-Oxford",24,25,25,26,26,26,25,25,24,24,24,24,24,24
"Truman State University",24,24,24,24,24,25,24,25,24,25,25,25,25,25
"University of Alabama in Huntsville",24,25,25,25,25,24,24,23,22,22,22,22,22,21
"The College of New Jersey",24,25,25,,25,26,24,,25,24,,,,
"Florida International University",23,23,23,22,23,22,22,24,23,21,22,22,21,21
"Southwestern University",23,23,23,23,23,23,23,22,24,25,25,24,24,23
"New York Institute of Technology",23,22,22,21,22,21,21,20,20,19,19,20,19,19
"Hanover College",23,21,22,22,22,22,23,23,22,22,22,22,22,23
"Point Loma Nazarene University",23,24,24,23,23,23,23,23,23,23,21,22,21,21
"University of North Carolina Wilmington",23,22,23,23,22,23,22,22,22,22,22,21,21,21
"Florida Institute of Technology",23,24,25,24,24,24,23,23,22,21,23,22,22,22
"Belmont University",23,24,24,24,24,23,23,24,24,24,23,23,23,23
"Saint Joseph's University",23,23,23,23,23,,,22,22,22,21,22,23,23
"School of Visual Arts",23,21,23,21,21,20,18,19,19,21,19,19,20,20
"Embry-Riddle Aeronautical University-Daytona Beach",23,,,22,,,,21,21,21,21,21,21,21
"Embry-Riddle Aeronautical University-Prescott",23,,,23,,,,23,23,23,21,22,22,22
"Cedarville University",23,23,23,23,23,23,23,24,23,24,23,23,23,23
"University of Oklahoma-Norman Campus",23,23,23,23,23,24,23,23,23,23,23,23,23,23
"University of St Thomas",23,24,24,24,24,24,16,23,23,23,23,23,23,22
"University of Scranton",23,24,23,23,23,22,22,22,22,22,22,,,
"Georgia College & State University",23,23,23,23,22,23,23,22,23,22,22,21,21,20
"Emmanuel College",23,21,24,24,23,,22,21,22,21,20,20,,19
"University of Tulsa",23,24,25,25,26,26,26,25,25,24,25,25,24,23
"Samford University",23,23,23,23,23,23,23,23,23,23,21,22,22,23
"University of Rhode Island",23,23,21,22,22,22,22,22,21,21,21,20,20,
"Bay Path University",23,19,,20,19,,17,18,17,20,16,17,18,18
"University of Portland",23,23,23,23,,,,,,,,,,
"University of Missouri-Columbia",23,23,23,23,23,24,23,23,23,23,23,23,23,23
"Duquesne University",23,23,24,24,24,23,23,22,22,23,23,22,22,21
"University of Massachusetts-Lowell",23,24,24,24,24,23,22,22,21,21,,,,
"The King's University",23,21,20,21,22,20,19,,,,,,,
"Messiah University",23,23,23,22,22,21,22,23,21,22,23,22,22,22
"New Mexico Institute of Mining and Technology",23,23,23,23,23,23,23,23,23,23,23,23,23,23
"Cornell College",23,23,23,23,23,23,23,23,24,23,24,24,24,23
"University of Mary Washington",23,23,22,22,22,22,22,22,22,22,23,23,23,23
"Michigan State University",23,23,23,23,24,23,23,23,23,23,23,23,23,22
"Colorado State University-Fort Collins",23,23,23,22,23,22,22,22,22,22,22,22,22,22
"Luther College",23,22,23,23,23,23,23,23,23,24,23,23,22,22
"Louisiana State University and Agricultural & Mechanical College",23,23,23,23,23,23,23,23,23,23,23,23,23,23
"CUNY City College",23,,,,,,,,,,,,,
"Calvin University",23,24,24,23,23,23,23,23,24,23,23,23,23,23
"The University of Alabama",23,23,23,23,23,22,22,22,22,22,21,21,21,21
"University of Dayton",23,23,24,24,24,24,24,24,24,24,23,23,23,23
"James Madison University",23,23,23,23,22,23,25,23,23,23,22,22,21,21
"University at Buffalo",23,24,24,24,24,24,24,23,24,23,23,23,23,23
"Hope College",23,23,23,24,23,24,23,24,23,24,23,23,23,23
"Wentworth Institute of Technology",23,22,22,22,21,22,22,21,21,21,20,,,
"University of Arkansas",23,23,23,23,23,23,23,23,23,23,23,23,23,22
"St. John's University-New York",23,23,23,22,22,22,22,21,21,21,,,,
"Drake University",23,24,24,24,25,24,25,25,24,25,24,24,24,23
"University of Cincinnati-Main Campus",23,23,24,23,23,23,23,22,22,22,22,21,21,21
"St. Mary's College of Maryland",23,21,23,22,23,22,23,25,25,24,24,28,,
"University of Dallas",23,24,23,24,23,24,24,24,23,24,23,24,24,24
"Principia College",22,22,22,20,22,21,20,20,20,21,21,21,22,21
"Knox College",22,24,,,,,,,,,26,,27,
"LeTourneau University",22,22,21,21,22,22,22,22,22,22,22,22,22,21
"John Brown University",22,23,23,24,23,24,,22,22,22,22,20,21,22
"John Carroll University",22,22,22,22,22,22,22,22,22,22,21,21,21,21
"Lyon College",22,21,21,22,22,22,22,22,23,23,22,22,22,23
"University of Utah",22,22,22,22,21,21,21,21,21,21,21,21,21,21
"Louisiana Tech University",22,22,22,22,21,21,21,21,21,21,20,20,20,19
"Xavier University",22,22,22,22,23,22,22,23,23,22,23,23,23,23
"Lipscomb University",22,23,22,23,22,23,23,22,22,22,21,21,21,21
"Long Island University",22,22,21,21,21,19,18,19,20,19,19,18,18,18
"Pacific University",22,20,21,22,22,21,21,21,21,21,21,18,21,20
"Marywood University",22,22,21,19,,,,,,20,,,,
"Wabash College",22,23,23,23,23,22,22,,22,22,21,22,21,23
"Virginia Military Institute",22,21,24,23,23,23,23,22,23,22,22,21,21,21
"High Point University",22,22,22,21,21,22,21,21,22,21,20,20,19,18
"Appalachian State University",22,22,23,23,23,23,23,24,22,22,22,21,20,20
"Valparaiso University",22,22,23,23,23,23,23,23,23,23,22,22,22,22
"Augustana University",22,23,23,23,23,23,23,21,23,23,22,22,22,
"Nebraska Wesleyan University",22,22,21,22,21,22,22,22,23,23,23,23,22,22
"Antioch College",22,,26,,,,,,,,,,,
"American International College",22,,16,17,16,17,17,16,16,16,16,16,17,17
"University of the Sciences",22,23,23,24,23,22,24,23,23,23,22,23,23,22
"Howard University",22,22,22,22,22,21,21,21,21,20,19,19,20,20
"Western Washington University",22,22,22,22,23,22,22,22,22,22,21,21,21,21
"Mississippi State University",22,22,22,21,21,21,21,20,20,20,20,20,20,20
"Millsaps College",22,21,22,22,23,23,23,23,23,23,23,23,23,23
"Oglethorpe University",22,22,22,22,22,22,22,22,22,22,23,22,22,22
"Ohio Northern University",22,23,22,22,23,23,23,23,23,24,23,23,23,23
"Milligan University",22,22,22,23,22,22,,,,,,,,
"Austin College",22,24,22,23,23,22,22,23,23,24,24,23,23,23
"Oklahoma City University",22,22,23,23,22,22,23,23,23,23,23,22,22,22
"Westminster College",22,19,21,21,22,22,22,22,22,22,22,21,21,21
"Pace University",22,21,22,21,21,21,20,21,,,,,,21
"University of Wisconsin-La Crosse",22,23,23,22,23,23,23,23,23,23,23,23,23,23
"Centenary College of Louisiana",22,22,21,22,22,21,21,22,23,21,22,22,22,22
"Saint Mary's College",22,23,22,23,22,22,23,23,23,22,23,23,22,23
"University of the Pacific",22,23,22,22,23,22,23,22,23,23,23,22,23,22
"University of New Haven",22,21,20,21,20,21,21,20,20,20,19,,,
"Dordt University",22,21,22,22,22,22,21,21,21,21,22,22,21,22
"St. Joseph's University-New York",22,20,19,18,20,19,20,21,20,20,17,,,21
"University of Nebraska-Lincoln",22,22,22,22,22,22,22,22,22,22,22,22,22,22
"DeSales University",22,21,22,22,22,21,21,22,20,20,20,19,19,18
"DePauw University",22,23,23,24,24,25,25,25,24,24,24,25,25,25
"Bradley University",22,22,23,22,22,23,23,23,23,22,22,22,23,23
"SUNY at Albany",22,22,22,22,22,22,22,22,22,22,22,22,21,21
"University of Mississippi",22,21,21,22,22,21,21,21,21,20,20,20,20,20
"SUNY Cortland",22,21,22,22,22,,,21,22,20,20,20,,
"CUNY Queens College",22,,,,,,,,,,,,,
"CUNY Brooklyn College",22,,,,,,,,,,,,,
"Eastern Mennonite University",22,19,21,20,20,18,18,18,19,21,22,18,21,21
"Covenant College",22,23,23,24,24,24,23,23,23,23,22,21,21,21
"University of Michigan-Dearborn",22,22,23,22,22,21,21,22,21,21,21,21,21,21
"The College of Saint Scholastica",22,22,20,19,21,20,21,21,21,18,21,20,20,20
"The University of Tampa",22,23,22,22,22,22,22,21,22,21,21,21,21,21
"University of Kansas",22,22,23,23,23,22,22,22,22,22,22,22,22,22
"University of Iowa",22,22,23,23,23,23,23,25,22,23,23,23,23,23
"University of Houston",22,22,22,23,23,23,22,22,21,21,20,19,19,19
"University of Hartford",22,22,22,21,20,20,19,20,,,19,20,16,20
"Union University",22,22,23,23,23,22,22,22,22,23,22,21,22,21
"University of Detroit Mercy",22,21,21,22,22,22,22,22,22,22,21,21,20,19
"Carroll College",22,21,22,22,22,22,22,22,22,22,21,21,21,21
"University of Alabama at Birmingham",22,22,21,21,21,22,21,22,21,21,21,21,21,21
"University of California-Riverside",22,23,23,23,21,23,22,20,19,19,19,18,18,18
"Texas Tech University",22,22,22,22,22,23,22,22,22,22,21,22,21,21
"University of North Carolina at Charlotte",22,22,22,22,22,22,21,20,20,20,20,19,19,19
"University of Kentucky",22,22,23,22,22,22,22,22,23,22,22,21,21,22
"Saint Norbert College",22,21,22,22,22,22,22,22,22,22,21,22,22,22
"School of the Art Institute of Chicago",22,22,22,22,22,22,18,18,21,22,21,21,,20
"Franciscan University of Steubenville",22,22,22,23,22,23,23,23,22,23,23,22,22,22
"University of Oregon",22,22,22,22,22,22,22,22,21,22,,,,
"Biola University",22,21,21,21,21,21,22,22,21,21,21,21,21,21
"Birmingham-Southern College",22,22,23,23,23,23,24,23,23,23,23,23,23,23
"University of Saint Joseph",22,,,19,,16,19,18,,22,18,,,17
"Roberts Wesleyan College",22,19,20,21,21,20,20,20,20,23,21,20,20,19
"University of North Carolina School of the Arts",22,21,22,22,22,21,22,20,22,19,20,19,21,21
"Saint Francis University",22,20,20,21,20,21,20,20,20,20,21,21,19,20
"San Diego State University",22,22,22,23,23,22,22,21,21,21,20,20,19,20
"Saint John Fisher College",22,21,22,22,22,21,23,22,22,22,22,22,22,21
"Saint Johns University",22,22,22,22,22,23,23,23,23,22,23,23,23,23
"The University of Texas at Arlington",21,20,20,20,20,20,20,20,20,20,19,20,20,20
"Martin Luther College",21,22,21,21,21,22,22,22,22,22,22,22,22,23
"University of Illinois Chicago",21,21,21,20,21,21,22,21,21,21,21,21,21,21
"University of Louisville",21,22,22,22,22,22,22,22,21,21,21,21,21,21
"The University of Tennessee-Chattanooga",21,21,21,21,21,21,21,21,21,21,20,18,19,19
"University of Wisconsin-Eau Claire",21,21,21,21,22,22,22,22,22,22,23,23,22,22
"Whitworth University",21,21,21,23,22,,,,,,24,25,25,23
"The University of Tennessee-Martin",21,21,21,20,20,20,20,20,19,20,20,20,19,19
"The University of West Florida",21,22,22,22,21,20,21,21,20,21,20,21,21,21
"Roanoke College",21,21,22,22,21,21,20,21,20,21,20,20,20,
"University of Hawaii at Manoa",21,21,21,21,20,20,20,21,21,21,21,21,21,21
"Le Moyne College",21,22,23,22,22,21,21,21,21,20,20,21,20,21
"Lee University",21,21,21,21,21,21,21,21,21,21,20,20,20,20
"Randolph-Macon College",21,20,20,21,22,22,21,21,21,22,,,19,18
"University of Colorado Denver/Anschutz Medical Campus",21,20,21,21,21,20,20,20,20,20,20,19,19,20
"University of Connecticut-Stamford",21,21,21,20,22,19,21,17,22,18,19,19,,20
"University of Arizona",21,21,21,,,,,21,21,21,21,21,21,20
"Loyola University New Orleans",21,22,22,22,23,22,22,22,22,23,24,23,23,23
"Regent University",21,19,19,19,19,20,20,19,20,20,16,,,
"Lewis University",21,21,21,21,21,20,21,21,20,20,20,19,19,20
"Liberty University",21,21,21,21,21,20,19,19,,,,18,18,18
"Regis University",21,21,21,20,22,21,22,21,21,22,22,21,18,21
"University of St Francis",21,20,20,20,20,21,21,21,21,21,21,20,20,20
"The College of Idaho",21,,,,,,21,21,22,22,22,22,21,22
